#Name (cmd = mergePeaks pr.pd_hipp_gba1_vs_lrk/bg.clean.pos pr.pd_hipp_gba1_vs_lrk/target.clean..pos -d 200 -cobound 1 -prefix pr.pd_hipp_gba1_vs_lrk/0.499864938742579.2.tmp)	chr	start	end	strand	stat	stat2	pr.pd_hipp_gba1_vs_lrk/target.clean..pos
BG62111	chr11	79808920	79809155	+	0.000	0.000	4820
BG62116	chr11	79894175	79894428	+	0.000	0.000	4821
BG62117	chr11	79894440	79894655	+	0.000	0.000	4822
BG27814	chr1	215637348	215637846	+	0.000	0.000	2337
BG27815	chr1	215647603	215647802	+	0.000	0.000	2338
BG27816	chr1	215647808	215648007	+	0.000	0.000	2339
BG27822	chr1	215682310	215682543	+	0.000	0.000	2340
BG27843	chr1	215984854	215985134	+	0.000	0.000	2341
BG62187	chr11	80900372	80900761	+	0.000	0.000	4823
BG27860	chr1	216248319	216249079	+	0.000	0.000	2342
BG27863	chr1	216310845	216311071	+	0.000	0.000	2343
BG27892	chr1	216723745	216724107	+	0.000	0.000	2344
BG308150	chr6	99877544	99877743	+	0.000	0.000	22731
BG308170	chr6	100052940	100053139	+	0.000	0.000	22732
BG308177	chr6	100107786	100107991	+	0.000	0.000	22733
BG209511	chr20	51554535	51555164	+	0.000	0.000	16265
BG209528	chr20	51636128	51636358	+	0.000	0.000	16266
BG209534	chr20	51652050	51652285	+	0.000	0.000	16267
BG209535	chr20	51652438	51652702	+	0.000	0.000	16268
BG209573	chr20	51895912	51896253	+	0.000	0.000	16269
BG209580	chr20	52004213	52004445	+	0.000	0.000	16270
BG209586	chr20	52105895	52106269	+	0.000	0.000	16271
BG209591	chr20	52155457	52155656	+	0.000	0.000	16272
BG62203	chr11	81028547	81028746	+	0.000	0.000	4824
BG62228	chr11	81310099	81310346	+	0.000	0.000	4825
BG27900	chr1	216784872	216785277	+	0.000	0.000	2345
BG62244	chr11	81497040	81497265	+	0.000	0.000	4826
BG27923	chr1	216900723	216901146	+	0.000	0.000	2346
BG308227	chr6	100823143	100823352	+	0.000	0.000	22734
BG27977	chr1	217141925	217142124	+	0.000	0.000	2347
BG27990	chr1	217312124	217312374	+	0.000	0.000	2348
BG308288	chr6	101399868	101400096	+	0.000	0.000	22735
BG209644	chr20	52747835	52748034	+	0.000	0.000	16273
BG209656	chr20	52859061	52859455	+	0.000	0.000	16274
BG209689	chr20	53187827	53188511	+	0.000	0.000	16275
BG62302	chr11	82272999	82273219	+	0.000	0.000	4827
BG62307	chr11	82358090	82358289	+	0.000	0.000	4828
BG62308	chr11	82358313	82358512	+	0.000	0.000	4829
BG62311	chr11	82359206	82359457	+	0.000	0.000	4830
BG62321	chr11	82495041	82495462	+	0.000	0.000	4831
BG62333	chr11	82560116	82560315	+	0.000	0.000	4832
BG62361	chr11	82775582	82775793	+	0.000	0.000	4833
BG62362	chr11	82775806	82776212	+	0.000	0.000	4834
BG308345	chr6	101845070	101845269	+	0.000	0.000	22736
BG308350	chr6	101885162	101885364	+	0.000	0.000	22737
BG308371	chr6	102458928	102459127	+	0.000	0.000	22738
BG308378	chr6	102619098	102619297	+	0.000	0.000	22739
BG308381	chr6	102717205	102717619	+	0.000	0.000	22740
BG209725	chr20	53513847	53514921	+	0.000	0.000	16276
BG209726	chr20	53521488	53521687	+	0.000	0.000	16277
BG209742	chr20	53678039	53678348	+	0.000	0.000	16278
BG209749	chr20	53721085	53721309	+	0.000	0.000	16279
BG244085	chr3	159775862	159776263	+	0.000	0.000	18822
BG244086	chr3	159776320	159776540	+	0.000	0.000	18823
BG244087	chr3	159776571	159776770	+	0.000	0.000	18824
BG209757	chr20	53752003	53752202	+	0.000	0.000	16280
BG244097	chr3	159788283	159788507	+	0.000	0.000	18825
BG209790	chr20	53941001	53941237	+	0.000	0.000	16281
BG62425	chr11	83007049	83007387	+	0.000	0.000	4835
BG62426	chr11	83007510	83007800	+	0.000	0.000	4836
BG62428	chr11	83011450	83011700	+	0.000	0.000	4837
BG62450	chr11	83087114	83087313	+	0.000	0.000	4838
BG62452	chr11	83115121	83115344	+	0.000	0.000	4839
BG62459	chr11	83147971	83148226	+	0.000	0.000	4840
BG308400	chr6	103342640	103342882	+	0.000	0.000	22741
BG308401	chr6	103342919	103343181	+	0.000	0.000	22742
BG308407	chr6	103533327	103533613	+	0.000	0.000	22743
BG308408	chr6	103537973	103538374	+	0.000	0.000	22744
BG62486	chr11	83334328	83334527	+	0.000	0.000	4841
BG308418	chr6	103723719	103723918	+	0.000	0.000	22745
BG308420	chr6	103752818	103753243	+	0.000	0.000	22746
BG308431	chr6	103892909	103893108	+	0.000	0.000	22747
BG308435	chr6	103914983	103915182	+	0.000	0.000	22748
BG308455	chr6	104161745	104162025	+	0.000	0.000	22749
BG308458	chr6	104182053	104182619	+	0.000	0.000	22750
BG308460	chr6	104183231	104183440	+	0.000	0.000	22751
BG308469	chr6	104273859	104274147	+	0.000	0.000	22752
BG308470	chr6	104274155	104274993	+	0.000	0.000	22753
BG308481	chr6	104511442	104511835	+	0.000	0.000	22754
BG308482	chr6	104511863	104512115	+	0.000	0.000	22755
BG209805	chr20	53995861	53996489	+	0.000	0.000	16282
BG209815	chr20	54026112	54026311	+	0.000	0.000	16283
BG209817	chr20	54026827	54027063	+	0.000	0.000	16284
BG209818	chr20	54028000	54029517	+	0.000	0.000	16285
BG244164	chr3	159898265	159898464	+	0.000	0.000	18826
BG209837	chr20	54172668	54173323	+	0.000	0.000	16286
BG244182	chr3	159971829	159972028	+	0.000	0.000	18827
BG209855	chr20	54267483	54267760	+	0.000	0.000	16287
BG62523	chr11	83486328	83486527	+	0.000	0.000	4842
BG62524	chr11	83486537	83486750	+	0.000	0.000	4843
BG62527	chr11	83487295	83487524	+	0.000	0.000	4844
BG62529	chr11	83499861	83500060	+	0.000	0.000	4845
BG308509	chr6	104653544	104653743	+	0.000	0.000	22756
BG308511	chr6	104682910	104683125	+	0.000	0.000	22757
BG308542	chr6	104995720	104996662	+	0.000	0.000	22758
BG308548	chr6	105038101	105038535	+	0.000	0.000	22759
BG244241	chr3	160448866	160449113	+	0.000	0.000	18828
BG209912	chr20	54668615	54668814	+	0.000	0.000	16288
BG244249	chr3	160514477	160514676	+	0.000	0.000	18829
BG244256	chr3	160616378	160616732	+	0.000	0.000	18830
BG209939	chr20	55438508	55438768	+	0.000	0.000	16289
BG209953	chr20	55635880	55636089	+	0.000	0.000	16290
BG209958	chr20	55676168	55676402	+	0.000	0.000	16291
BG209962	chr20	55700580	55700977	+	0.000	0.000	16292
BG209977	chr20	56091637	56091946	+	0.000	0.000	16293
BG209979	chr20	56102686	56102885	+	0.000	0.000	16294
BG209984	chr20	56147635	56147855	+	0.000	0.000	16295
BG209992	chr20	56249425	56249624	+	0.000	0.000	16296
BG209997	chr20	56343675	56343874	+	0.000	0.000	16297
BG62601	chr11	83714303	83714639	+	0.000	0.000	4846
BG62602	chr11	83717683	83717888	+	0.000	0.000	4847
BG62612	chr11	83740435	83740658	+	0.000	0.000	4848
BG62642	chr11	83842098	83842329	+	0.000	0.000	4849
BG62648	chr11	83897067	83897299	+	0.000	0.000	4850
BG308642	chr6	105578344	105578671	+	0.000	0.000	22760
BG308651	chr6	105600450	105600769	+	0.000	0.000	22761
BG308656	chr6	105609432	105609712	+	0.000	0.000	22762
BG308684	chr6	105834737	105834968	+	0.000	0.000	22763
BG308685	chr6	105835331	105835530	+	0.000	0.000	22764
BG244325	chr3	161070639	161070855	+	0.000	0.000	18831
BG62736	chr11	84273129	84273369	+	0.000	0.000	4851
BG343000	chr8	14040164	14040709	+	0.000	0.000	25022
BG343002	chr8	14203488	14203919	+	0.000	0.000	25023
BG343027	chr8	14412003	14412202	+	0.000	0.000	25024
BG62771	chr11	84430554	84431015	+	0.000	0.000	4852
BG62772	chr11	84431118	84431376	+	0.000	0.000	4853
BG62774	chr11	84494664	84494895	+	0.000	0.000	4854
BG343036	chr8	14564713	14564933	+	0.000	0.000	25025
BG308708	chr6	105993488	105993687	+	0.000	0.000	22765
BG343044	chr8	14758718	14758917	+	0.000	0.000	25026
BG62798	chr11	84575162	84575361	+	0.000	0.000	4855
BG308726	chr6	106124243	106124442	+	0.000	0.000	22766
BG343066	chr8	15054248	15054447	+	0.000	0.000	25027
BG343076	chr8	15152706	15152929	+	0.000	0.000	25028
BG343090	chr8	15277653	15277852	+	0.000	0.000	25029
BG308774	chr6	106445913	106446112	+	0.000	0.000	22767
BG244405	chr3	161854968	161855212	+	0.000	0.000	18832
BG244408	chr3	161894349	161894706	+	0.000	0.000	18833
BG244416	chr3	161955422	161955645	+	0.000	0.000	18834
BG244419	chr3	161956935	161957171	+	0.000	0.000	18835
BG244423	chr3	161959565	161959770	+	0.000	0.000	18836
BG244426	chr3	161960426	161960625	+	0.000	0.000	18837
BG244428	chr3	162019890	162020213	+	0.000	0.000	18838
BG244441	chr3	162165079	162165324	+	0.000	0.000	18839
BG244443	chr3	162165713	162165921	+	0.000	0.000	18840
BG244465	chr3	162289124	162289364	+	0.000	0.000	18841
BG244473	chr3	162317388	162318076	+	0.000	0.000	18842
BG244474	chr3	162367404	162367603	+	0.000	0.000	18843
BG244483	chr3	162555225	162555600	+	0.000	0.000	18844
BG244485	chr3	162555893	162556101	+	0.000	0.000	18845
BG244490	chr3	162659354	162659553	+	0.000	0.000	18846
BG244494	chr3	162769632	162769881	+	0.000	0.000	18847
BG244496	chr3	162894324	162894523	+	0.000	0.000	18848
BG343105	chr8	15561531	15561780	+	0.000	0.000	25030
BG343120	chr8	15742480	15742679	+	0.000	0.000	25031
BG343133	chr8	15795686	15795885	+	0.000	0.000	25032
BG62884	chr11	85123856	85124063	+	0.000	0.000	4856
BG343146	chr8	16027594	16027793	+	0.000	0.000	25033
BG308817	chr6	106637388	106637654	+	0.000	0.000	22768
BG343151	chr8	16185199	16185398	+	0.000	0.000	25034
BG308868	chr6	107113871	107114135	+	0.000	0.000	22769
BG308896	chr6	107345053	107345265	+	0.000	0.000	22770
BG244501	chr3	163058291	163058490	+	0.000	0.000	18849
BG244508	chr3	163449578	163449777	+	0.000	0.000	18850
BG244524	chr3	164012748	164013139	+	0.000	0.000	18851
BG244527	chr3	164199085	164199284	+	0.000	0.000	18852
BG244532	chr3	164264292	164264501	+	0.000	0.000	18853
BG244538	chr3	164448785	164448984	+	0.000	0.000	18854
BG62901	chr11	85236908	85237107	+	0.000	0.000	4857
BG62968	chr11	85967163	85967379	+	0.000	0.000	4858
BG62984	chr11	86042235	86042457	+	0.000	0.000	4859
BG62997	chr11	86102790	86102989	+	0.000	0.000	4860
BG343255	chr8	17170182	17170381	+	0.000	0.000	25035
BG343261	chr8	17229931	17230177	+	0.000	0.000	25036
BG308933	chr6	107554297	107554583	+	0.000	0.000	22771
BG343271	chr8	17309445	17309644	+	0.000	0.000	25037
BG308951	chr6	107616358	107616557	+	0.000	0.000	22772
BG308979	chr6	107737620	107737819	+	0.000	0.000	22773
BG308987	chr6	107815682	107815881	+	0.000	0.000	22774
BG244611	chr3	165404432	165404631	+	0.000	0.000	18855
BG244613	chr3	165461861	165462069	+	0.000	0.000	18856
BG244637	chr3	165784884	165785083	+	0.000	0.000	18857
BG244679	chr3	166573466	166573678	+	0.000	0.000	18858
BG244687	chr3	166681112	166681359	+	0.000	0.000	18859
BG244688	chr3	166681519	166681718	+	0.000	0.000	18860
BG244692	chr3	167032331	167032835	+	0.000	0.000	18861
BG244695	chr3	167069111	167069310	+	0.000	0.000	18862
BG244698	chr3	167109847	167110190	+	0.000	0.000	18863
BG244699	chr3	167110206	167110608	+	0.000	0.000	18864
BG110001	chr14	77215610	77216405	+	0.000	0.000	7978
BG110007	chr14	77260295	77260517	+	0.000	0.000	7979
BG110014	chr14	77271069	77271389	+	0.000	0.000	7980
BG110021	chr14	77282729	77282938	+	0.000	0.000	7981
BG110033	chr14	77319558	77319757	+	0.000	0.000	7982
BG110043	chr14	77355970	77356187	+	0.000	0.000	7983
BG110064	chr14	77459454	77459653	+	0.000	0.000	7984
BG110065	chr14	77469015	77470093	+	0.000	0.000	7985
BG110066	chr14	77470114	77470370	+	0.000	0.000	7986
BG110067	chr14	77470379	77470611	+	0.000	0.000	7987
BG110077	chr14	77551193	77551395	+	0.000	0.000	7988
BG110079	chr14	77554328	77554527	+	0.000	0.000	7989
BG110080	chr14	77554563	77554833	+	0.000	0.000	7990
BG110082	chr14	77556767	77557238	+	0.000	0.000	7991
BG110088	chr14	77599443	77599648	+	0.000	0.000	7992
BG343316	chr8	17545072	17545386	+	0.000	0.000	25038
BG343328	chr8	17606501	17606866	+	0.000	0.000	25039
BG343331	chr8	17608688	17608910	+	0.000	0.000	25040
BG343340	chr8	17628931	17629361	+	0.000	0.000	25041
BG343355	chr8	17665603	17665802	+	0.000	0.000	25042
BG343367	chr8	17692537	17692736	+	0.000	0.000	25043
BG343379	chr8	17716540	17716953	+	0.000	0.000	25044
BG343380	chr8	17716982	17717462	+	0.000	0.000	25045
BG343386	chr8	17723611	17723810	+	0.000	0.000	25046
BG343396	chr8	17750139	17750364	+	0.000	0.000	25047
BG244710	chr3	167227775	167228124	+	0.000	0.000	18865
BG244717	chr3	167350094	167350330	+	0.000	0.000	18866
BG244738	chr3	167441345	167441563	+	0.000	0.000	18867
BG244753	chr3	167494522	167494982	+	0.000	0.000	18868
BG110108	chr14	77709231	77709430	+	0.000	0.000	7993
BG110109	chr14	77709445	77709904	+	0.000	0.000	7994
BG110126	chr14	77811162	77811361	+	0.000	0.000	7995
BG110152	chr14	77921537	77921767	+	0.000	0.000	7996
BG110164	chr14	77980070	77980760	+	0.000	0.000	7997
BG110198	chr14	78173323	78173680	+	0.000	0.000	7998
BG343437	chr8	17946690	17946889	+	0.000	0.000	25048
BG343447	chr8	17973598	17973797	+	0.000	0.000	25049
BG343483	chr8	18295687	18296001	+	0.000	0.000	25050
BG244822	chr3	167928420	167928778	+	0.000	0.000	18869
BG244834	chr3	168035531	168035829	+	0.000	0.000	18870
BG244845	chr3	168053002	168053201	+	0.000	0.000	18871
BG244882	chr3	168395968	168396514	+	0.000	0.000	18872
BG244884	chr3	168417484	168418078	+	0.000	0.000	18873
BG244895	chr3	168493482	168493766	+	0.000	0.000	18874
BG110234	chr14	78327749	78327985	+	0.000	0.000	7999
BG110237	chr14	78329851	78330107	+	0.000	0.000	8000
BG343505	chr8	18385521	18385771	+	0.000	0.000	25051
BG343530	chr8	18539141	18539340	+	0.000	0.000	25052
BG343532	chr8	18553779	18554008	+	0.000	0.000	25053
BG343540	chr8	18572243	18572689	+	0.000	0.000	25054
BG343562	chr8	18662009	18662506	+	0.000	0.000	25055
BG343566	chr8	18680119	18680318	+	0.000	0.000	25056
BG343575	chr8	18703160	18703413	+	0.000	0.000	25057
BG244909	chr3	168536588	168536787	+	0.000	0.000	18875
BG244914	chr3	168579122	168579321	+	0.000	0.000	18876
BG244918	chr3	168582312	168582511	+	0.000	0.000	18877
BG244931	chr3	168810516	168811091	+	0.000	0.000	18878
BG244942	chr3	168909709	168909918	+	0.000	0.000	18879
BG244962	chr3	169294666	169294865	+	0.000	0.000	18880
BG244974	chr3	169388260	169388468	+	0.000	0.000	18881
BG110319	chr14	78784508	78784707	+	0.000	0.000	8001
BG110352	chr14	78908924	78909123	+	0.000	0.000	8002
BG343604	chr8	18804397	18804606	+	0.000	0.000	25058
BG343620	chr8	18847571	18847909	+	0.000	0.000	25059
BG343636	chr8	18918551	18918750	+	0.000	0.000	25060
BG343638	chr8	18932191	18932391	+	0.000	0.000	25061
BG343655	chr8	19020518	19021468	+	0.000	0.000	25062
BG343697	chr8	19235420	19235619	+	0.000	0.000	25063
BG110422	chr14	79415814	79416084	+	0.000	0.000	8003
BG110454	chr14	79588360	79588684	+	0.000	0.000	8004
BG110476	chr14	79708543	79708852	+	0.000	0.000	8005
BG110488	chr14	79739888	79740087	+	0.000	0.000	8006
BG343718	chr8	19394468	19394667	+	0.000	0.000	25064
BG110501	chr14	79795748	79795947	+	0.000	0.000	8007
BG110502	chr14	79796005	79796204	+	0.000	0.000	8008
BG110514	chr14	79853083	79853302	+	0.000	0.000	8009
BG110567	chr14	80548692	80548891	+	0.000	0.000	8010
BG110576	chr14	80644834	80645033	+	0.000	0.000	8011
BG343806	chr8	19742811	19743010	+	0.000	0.000	25065
BG343845	chr8	19945500	19945722	+	0.000	0.000	25066
BG343852	chr8	19965691	19965890	+	0.000	0.000	25067
BG343870	chr8	20099156	20099355	+	0.000	0.000	25068
BG343871	chr8	20099368	20099588	+	0.000	0.000	25069
BG343872	chr8	20099748	20099973	+	0.000	0.000	25070
BG343878	chr8	20125387	20125586	+	0.000	0.000	25071
BG110605	chr14	81137416	81137690	+	0.000	0.000	8012
BG110626	chr14	81267713	81267912	+	0.000	0.000	8013
BG110627	chr14	81267938	81268193	+	0.000	0.000	8014
BG110632	chr14	81281450	81281649	+	0.000	0.000	8015
BG110635	chr14	81305196	81305395	+	0.000	0.000	8016
BG110650	chr14	81348069	81348310	+	0.000	0.000	8017
BG110664	chr14	81399883	81400091	+	0.000	0.000	8018
BG110680	chr14	81465894	81466140	+	0.000	0.000	8019
BG343980	chr8	20825941	20826324	+	0.000	0.000	25072
BG110706	chr14	81571544	81571791	+	0.000	0.000	8020
BG110707	chr14	81571837	81572044	+	0.000	0.000	8021
BG110711	chr14	81595217	81595416	+	0.000	0.000	8022
BG110725	chr14	81744051	81744476	+	0.000	0.000	8023
BG110727	chr14	81783876	81784075	+	0.000	0.000	8024
BG110730	chr14	81793072	81793271	+	0.000	0.000	8025
BG110736	chr14	81822490	81822689	+	0.000	0.000	8026
BG110750	chr14	81932831	81933390	+	0.000	0.000	8027
BG110756	chr14	81972657	81973032	+	0.000	0.000	8028
BG110769	chr14	82066964	82067187	+	0.000	0.000	8029
BG110794	chr14	82256886	82257090	+	0.000	0.000	8030
BG110803	chr14	82313470	82313669	+	0.000	0.000	8031
BG110807	chr14	82338679	82339059	+	0.000	0.000	8032
BG110823	chr14	82445430	82445712	+	0.000	0.000	8033
BG110835	chr14	82539347	82539605	+	0.000	0.000	8034
BG110839	chr14	82565532	82566591	+	0.000	0.000	8035
BG110841	chr14	82578513	82578915	+	0.000	0.000	8036
BG110876	chr14	83050239	83050653	+	0.000	0.000	8037
BG110878	chr14	83051073	83051324	+	0.000	0.000	8038
BG110900	chr14	83141032	83141461	+	0.000	0.000	8039
BG110908	chr14	83185394	83185593	+	0.000	0.000	8040
BG110949	chr14	84129363	84129562	+	0.000	0.000	8041
BG110951	chr14	84228774	84229444	+	0.000	0.000	8042
BG110957	chr14	84453322	84453589	+	0.000	0.000	8043
BG110962	chr14	84478890	84479150	+	0.000	0.000	8044
BG110975	chr14	84726810	84727009	+	0.000	0.000	8045
BG110982	chr14	84836496	84836728	+	0.000	0.000	8046
BG110987	chr14	84948084	84948283	+	0.000	0.000	8047
BG110993	chr14	84988193	84988438	+	0.000	0.000	8048
BG128005	chr16	6379992	6380273	+	0.000	0.000	9438
BG128007	chr16	6414768	6414976	+	0.000	0.000	9439
BG128017	chr16	6495542	6495814	+	0.000	0.000	9440
BG128021	chr16	6535255	6535454	+	0.000	0.000	9441
BG128029	chr16	6579569	6579768	+	0.000	0.000	9442
BG128030	chr16	6586534	6586783	+	0.000	0.000	9443
BG128032	chr16	6593666	6594100	+	0.000	0.000	9444
BG128045	chr16	6664399	6664857	+	0.000	0.000	9445
BG128050	chr16	6672603	6673251	+	0.000	0.000	9446
BG128051	chr16	6678694	6678893	+	0.000	0.000	9447
BG128053	chr16	6682444	6682669	+	0.000	0.000	9448
BG128062	chr16	6713910	6714127	+	0.000	0.000	9449
BG128066	chr16	6733276	6733475	+	0.000	0.000	9450
BG128067	chr16	6733573	6733998	+	0.000	0.000	9451
BG128088	chr16	6869714	6870140	+	0.000	0.000	9452
BG128096	chr16	6892829	6893028	+	0.000	0.000	9453
BG297033	chr6	11324247	11324449	+	0.000	0.000	22024
BG297072	chr6	11545003	11545221	+	0.000	0.000	22025
BG297083	chr6	11605143	11605342	+	0.000	0.000	22026
BG297084	chr6	11605376	11605629	+	0.000	0.000	22027
BG128100	chr16	6894804	6895003	+	0.000	0.000	9454
BG128120	chr16	7016442	7016647	+	0.000	0.000	9455
BG128128	chr16	7051456	7051655	+	0.000	0.000	9456
BG128129	chr16	7051710	7051962	+	0.000	0.000	9457
BG128140	chr16	7108154	7108353	+	0.000	0.000	9458
BG128141	chr16	7112680	7113101	+	0.000	0.000	9459
BG128143	chr16	7117577	7118304	+	0.000	0.000	9460
BG128146	chr16	7160783	7160982	+	0.000	0.000	9461
BG128148	chr16	7193645	7193844	+	0.000	0.000	9462
BG128150	chr16	7200256	7200719	+	0.000	0.000	9463
BG128152	chr16	7204104	7204303	+	0.000	0.000	9464
BG128155	chr16	7211880	7212114	+	0.000	0.000	9465
BG128159	chr16	7227087	7228252	+	0.000	0.000	9466
BG128161	chr16	7237166	7237402	+	0.000	0.000	9467
BG128162	chr16	7247313	7247557	+	0.000	0.000	9468
BG128163	chr16	7247635	7247867	+	0.000	0.000	9469
BG128169	chr16	7276429	7277162	+	0.000	0.000	9470
BG128172	chr16	7281167	7281831	+	0.000	0.000	9471
BG128173	chr16	7281879	7282078	+	0.000	0.000	9472
BG128174	chr16	7284289	7284488	+	0.000	0.000	9473
BG128177	chr16	7294039	7294419	+	0.000	0.000	9474
BG128196	chr16	7378386	7378630	+	0.000	0.000	9475
BG128218	chr16	7441382	7441581	+	0.000	0.000	9476
BG128226	chr16	7478152	7478538	+	0.000	0.000	9477
BG128237	chr16	7505610	7505809	+	0.000	0.000	9478
BG128248	chr16	7527550	7527749	+	0.000	0.000	9479
