#Name (cmd = mergePeaks pr.diff_pd_hipp_lrrk_vs_ctrl/bg.clean.pos pr.diff_pd_hipp_lrrk_vs_ctrl/target.clean..pos -d 200 -cobound 1 -prefix pr.diff_pd_hipp_lrrk_vs_ctrl/0.288842263006703.2.tmp)	chr	start	end	strand	stat	stat2	pr.diff_pd_hipp_lrrk_vs_ctrl/target.clean..pos
BG308420	chr6	103752818	103753243	+	0.000	0.000	22086
BG308431	chr6	103892909	103893108	+	0.000	0.000	22087
BG308458	chr6	104182053	104182619	+	0.000	0.000	22088
BG308460	chr6	104183231	104183440	+	0.000	0.000	22089
BG308462	chr6	104183711	104184084	+	0.000	0.000	22090
BG308469	chr6	104273859	104274147	+	0.000	0.000	22091
BG308470	chr6	104274155	104274993	+	0.000	0.000	22092
BG308499	chr6	104601889	104602088	+	0.000	0.000	22093
BG209817	chr20	54026827	54027063	+	0.000	0.000	15832
BG209818	chr20	54028000	54029517	+	0.000	0.000	15833
BG209819	chr20	54042870	54043477	+	0.000	0.000	15834
BG209823	chr20	54048866	54049462	+	0.000	0.000	15835
BG209825	chr20	54061677	54061876	+	0.000	0.000	15836
BG244164	chr3	159898265	159898464	+	0.000	0.000	18325
BG209837	chr20	54172668	54173323	+	0.000	0.000	15837
BG209838	chr20	54173382	54173645	+	0.000	0.000	15838
BG244176	chr3	159929257	159929456	+	0.000	0.000	18326
BG209855	chr20	54267483	54267760	+	0.000	0.000	15839
BG209864	chr20	54335371	54335612	+	0.000	0.000	15840
BG62524	chr11	83486537	83486750	+	0.000	0.000	4706
BG62526	chr11	83487020	83487258	+	0.000	0.000	4707
BG62527	chr11	83487295	83487524	+	0.000	0.000	4708
BG308509	chr6	104653544	104653743	+	0.000	0.000	22094
BG308511	chr6	104682910	104683125	+	0.000	0.000	22095
BG308548	chr6	105038101	105038535	+	0.000	0.000	22096
BG308557	chr6	105111199	105111419	+	0.000	0.000	22097
BG244241	chr3	160448866	160449113	+	0.000	0.000	18327
BG209910	chr20	54654568	54654799	+	0.000	0.000	15841
BG244256	chr3	160616378	160616732	+	0.000	0.000	18328
BG209958	chr20	55676168	55676402	+	0.000	0.000	15842
BG244294	chr3	160876276	160876511	+	0.000	0.000	18329
BG209972	chr20	56003090	56005635	+	0.000	0.000	15843
BG209976	chr20	56088130	56089189	+	0.000	0.000	15844
BG209979	chr20	56102686	56102885	+	0.000	0.000	15845
BG209983	chr20	56147035	56147596	+	0.000	0.000	15846
BG62601	chr11	83714303	83714639	+	0.000	0.000	4709
BG62602	chr11	83717683	83717888	+	0.000	0.000	4710
BG62603	chr11	83721397	83721596	+	0.000	0.000	4711
BG62612	chr11	83740435	83740658	+	0.000	0.000	4712
BG62642	chr11	83842098	83842329	+	0.000	0.000	4713
BG62648	chr11	83897067	83897299	+	0.000	0.000	4714
BG308622	chr6	105430520	105430719	+	0.000	0.000	22098
BG308651	chr6	105600450	105600769	+	0.000	0.000	22099
BG308656	chr6	105609432	105609712	+	0.000	0.000	22100
BG308684	chr6	105834737	105834968	+	0.000	0.000	22101
BG308685	chr6	105835331	105835530	+	0.000	0.000	22102
BG308690	chr6	105867933	105868132	+	0.000	0.000	22103
BG244325	chr3	161070639	161070855	+	0.000	0.000	18330
BG244332	chr3	161171218	161171417	+	0.000	0.000	18331
BG244375	chr3	161576740	161576939	+	0.000	0.000	18332
BG244395	chr3	161756873	161757083	+	0.000	0.000	18333
BG343000	chr8	14040164	14040709	+	0.000	0.000	24266
BG62771	chr11	84430554	84431015	+	0.000	0.000	4715
BG62772	chr11	84431118	84431376	+	0.000	0.000	4716
BG308708	chr6	105993488	105993687	+	0.000	0.000	22104
BG343044	chr8	14758718	14758917	+	0.000	0.000	24267
BG308711	chr6	105994927	105995312	+	0.000	0.000	22105
BG308726	chr6	106124243	106124442	+	0.000	0.000	22106
BG343066	chr8	15054248	15054447	+	0.000	0.000	24268
BG308749	chr6	106250548	106250982	+	0.000	0.000	22107
BG343086	chr8	15236110	15236338	+	0.000	0.000	24269
BG343090	chr8	15277653	15277852	+	0.000	0.000	24270
BG308760	chr6	106316437	106316691	+	0.000	0.000	22108
BG308778	chr6	106447944	106448212	+	0.000	0.000	22109
BG308779	chr6	106448223	106448483	+	0.000	0.000	22110
BG244405	chr3	161854968	161855212	+	0.000	0.000	18334
BG244410	chr3	161905240	161905835	+	0.000	0.000	18335
BG244426	chr3	161960426	161960625	+	0.000	0.000	18336
BG244428	chr3	162019890	162020213	+	0.000	0.000	18337
BG244441	chr3	162165079	162165324	+	0.000	0.000	18338
BG244473	chr3	162317388	162318076	+	0.000	0.000	18339
BG244474	chr3	162367404	162367603	+	0.000	0.000	18340
BG244480	chr3	162524858	162525434	+	0.000	0.000	18341
BG244490	chr3	162659354	162659553	+	0.000	0.000	18342
BG343109	chr8	15584611	15584810	+	0.000	0.000	24271
BG343133	chr8	15795686	15795885	+	0.000	0.000	24272
BG343141	chr8	15915185	15915477	+	0.000	0.000	24273
BG308817	chr6	106637388	106637654	+	0.000	0.000	22111
BG343151	chr8	16185199	16185398	+	0.000	0.000	24274
BG244532	chr3	164264292	164264501	+	0.000	0.000	18343
BG244550	chr3	164641138	164641337	+	0.000	0.000	18344
BG244551	chr3	164658207	164658406	+	0.000	0.000	18345
BG244555	chr3	164686330	164686529	+	0.000	0.000	18346
BG244568	chr3	165161111	165161508	+	0.000	0.000	18347
BG244595	chr3	165254430	165254810	+	0.000	0.000	18348
BG62908	chr11	85494278	85494674	+	0.000	0.000	4717
BG62911	chr11	85531135	85531865	+	0.000	0.000	4718
BG343227	chr8	17076960	17077175	+	0.000	0.000	24275
BG62980	chr11	86039151	86039350	+	0.000	0.000	4719
BG62999	chr11	86118798	86119038	+	0.000	0.000	4720
BG343254	chr8	17169961	17170166	+	0.000	0.000	24276
BG308921	chr6	107533538	107533737	+	0.000	0.000	22112
BG343261	chr8	17229931	17230177	+	0.000	0.000	24277
BG343266	chr8	17247771	17248018	+	0.000	0.000	24278
BG308933	chr6	107554297	107554583	+	0.000	0.000	22113
BG308947	chr6	107594803	107595014	+	0.000	0.000	22114
BG308965	chr6	107657646	107657845	+	0.000	0.000	22115
BG308979	chr6	107737620	107737819	+	0.000	0.000	22116
BG308987	chr6	107815682	107815881	+	0.000	0.000	22117
BG244611	chr3	165404432	165404631	+	0.000	0.000	18349
BG244679	chr3	166573466	166573678	+	0.000	0.000	18350
BG244687	chr3	166681112	166681359	+	0.000	0.000	18351
BG244698	chr3	167109847	167110190	+	0.000	0.000	18352
BG244699	chr3	167110206	167110608	+	0.000	0.000	18353
BG110007	chr14	77260295	77260517	+	0.000	0.000	7661
BG110020	chr14	77282083	77282436	+	0.000	0.000	7662
BG110026	chr14	77300887	77301128	+	0.000	0.000	7663
BG110033	chr14	77319558	77319757	+	0.000	0.000	7664
BG110039	chr14	77335054	77335253	+	0.000	0.000	7665
BG110058	chr14	77436169	77436368	+	0.000	0.000	7666
BG110063	chr14	77459182	77459421	+	0.000	0.000	7667
BG110064	chr14	77459454	77459653	+	0.000	0.000	7668
BG110065	chr14	77469015	77470093	+	0.000	0.000	7669
BG110066	chr14	77470114	77470370	+	0.000	0.000	7670
BG110067	chr14	77470379	77470611	+	0.000	0.000	7671
BG110077	chr14	77551193	77551395	+	0.000	0.000	7672
BG110082	chr14	77556767	77557238	+	0.000	0.000	7673
BG110088	chr14	77599443	77599648	+	0.000	0.000	7674
BG110090	chr14	77607964	77608190	+	0.000	0.000	7675
BG110091	chr14	77612071	77612272	+	0.000	0.000	7676
BG343311	chr8	17527869	17528231	+	0.000	0.000	24279
BG343316	chr8	17545072	17545386	+	0.000	0.000	24280
BG343328	chr8	17606501	17606866	+	0.000	0.000	24281
BG343331	chr8	17608688	17608910	+	0.000	0.000	24282
BG343355	chr8	17665603	17665802	+	0.000	0.000	24283
BG343366	chr8	17692188	17692482	+	0.000	0.000	24284
BG343367	chr8	17692537	17692736	+	0.000	0.000	24285
BG343386	chr8	17723611	17723810	+	0.000	0.000	24286
BG343396	chr8	17750139	17750364	+	0.000	0.000	24287
BG244708	chr3	167165665	167165977	+	0.000	0.000	18354
BG244710	chr3	167227775	167228124	+	0.000	0.000	18355
BG244717	chr3	167350094	167350330	+	0.000	0.000	18356
BG244718	chr3	167350335	167350824	+	0.000	0.000	18357
BG244738	chr3	167441345	167441563	+	0.000	0.000	18358
BG244753	chr3	167494522	167494982	+	0.000	0.000	18359
BG244778	chr3	167691441	167691686	+	0.000	0.000	18360
BG110100	chr14	77663483	77663682	+	0.000	0.000	7677
BG110109	chr14	77709445	77709904	+	0.000	0.000	7678
BG110112	chr14	77736046	77736245	+	0.000	0.000	7679
BG110150	chr14	77917521	77918493	+	0.000	0.000	7680
BG110152	chr14	77921537	77921767	+	0.000	0.000	7681
BG110164	chr14	77980070	77980760	+	0.000	0.000	7682
BG110175	chr14	78025647	78025846	+	0.000	0.000	7683
BG110180	chr14	78075719	78075939	+	0.000	0.000	7684
BG110192	chr14	78161913	78162496	+	0.000	0.000	7685
BG343447	chr8	17973598	17973797	+	0.000	0.000	24288
BG343485	chr8	18296682	18296972	+	0.000	0.000	24289
BG343497	chr8	18335677	18336075	+	0.000	0.000	24290
BG244822	chr3	167928420	167928778	+	0.000	0.000	18361
BG244834	chr3	168035531	168035829	+	0.000	0.000	18362
BG244845	chr3	168053002	168053201	+	0.000	0.000	18363
BG244884	chr3	168417484	168418078	+	0.000	0.000	18364
BG244888	chr3	168428193	168428392	+	0.000	0.000	18365
BG244895	chr3	168493482	168493766	+	0.000	0.000	18366
BG110234	chr14	78327749	78327985	+	0.000	0.000	7686
BG110237	chr14	78329851	78330107	+	0.000	0.000	7687
BG110274	chr14	78593877	78594289	+	0.000	0.000	7688
BG343505	chr8	18385521	18385771	+	0.000	0.000	24291
BG343513	chr8	18434292	18434769	+	0.000	0.000	24292
BG343527	chr8	18531085	18531712	+	0.000	0.000	24293
BG343533	chr8	18554085	18554303	+	0.000	0.000	24294
BG343540	chr8	18572243	18572689	+	0.000	0.000	24295
BG343562	chr8	18662009	18662506	+	0.000	0.000	24296
BG343575	chr8	18703160	18703413	+	0.000	0.000	24297
BG244931	chr3	168810516	168811091	+	0.000	0.000	18367
BG244962	chr3	169294666	169294865	+	0.000	0.000	18368
BG244991	chr3	169744446	169744645	+	0.000	0.000	18369
BG244992	chr3	169744688	169744887	+	0.000	0.000	18370
BG110331	chr14	78839121	78839361	+	0.000	0.000	7689
BG110352	chr14	78908924	78909123	+	0.000	0.000	7690
BG110362	chr14	78998255	78998454	+	0.000	0.000	7691
BG343620	chr8	18847571	18847909	+	0.000	0.000	24298
BG343638	chr8	18932191	18932391	+	0.000	0.000	24299
BG343654	chr8	19019188	19019836	+	0.000	0.000	24300
BG343655	chr8	19020518	19021468	+	0.000	0.000	24301
BG343673	chr8	19122585	19122787	+	0.000	0.000	24302
BG343699	chr8	19264243	19264442	+	0.000	0.000	24303
BG110402	chr14	79294546	79294745	+	0.000	0.000	7692
BG110428	chr14	79436332	79436696	+	0.000	0.000	7693
BG343704	chr8	19312869	19314868	+	0.000	0.000	24304
BG343718	chr8	19394468	19394667	+	0.000	0.000	24305
BG343724	chr8	19413908	19414110	+	0.000	0.000	24306
BG343756	chr8	19547895	19548094	+	0.000	0.000	24307
BG343765	chr8	19589327	19589565	+	0.000	0.000	24308
BG110501	chr14	79795748	79795947	+	0.000	0.000	7694
BG110502	chr14	79796005	79796204	+	0.000	0.000	7695
BG110514	chr14	79853083	79853302	+	0.000	0.000	7696
BG110567	chr14	80548692	80548891	+	0.000	0.000	7697
BG110582	chr14	80723672	80724230	+	0.000	0.000	7698
BG110596	chr14	80979962	80980260	+	0.000	0.000	7699
BG343819	chr8	19845066	19845316	+	0.000	0.000	24309
BG343845	chr8	19945500	19945722	+	0.000	0.000	24310
BG343847	chr8	19953553	19953790	+	0.000	0.000	24311
BG343852	chr8	19965691	19965890	+	0.000	0.000	24312
BG343854	chr8	19966261	19966492	+	0.000	0.000	24313
BG343870	chr8	20099156	20099355	+	0.000	0.000	24314
BG343884	chr8	20222130	20222399	+	0.000	0.000	24315
BG343885	chr8	20222422	20222636	+	0.000	0.000	24316
BG110615	chr14	81203891	81204106	+	0.000	0.000	7700
BG110627	chr14	81267938	81268193	+	0.000	0.000	7701
BG110632	chr14	81281450	81281649	+	0.000	0.000	7702
BG110635	chr14	81305196	81305395	+	0.000	0.000	7703
BG110642	chr14	81322415	81323400	+	0.000	0.000	7704
BG110650	chr14	81348069	81348310	+	0.000	0.000	7705
BG110664	chr14	81399883	81400091	+	0.000	0.000	7706
BG110689	chr14	81489589	81489788	+	0.000	0.000	7707
BG343949	chr8	20452614	20453169	+	0.000	0.000	24317
BG343984	chr8	20879813	20880170	+	0.000	0.000	24318
BG110707	chr14	81571837	81572044	+	0.000	0.000	7708
BG110721	chr14	81686290	81687393	+	0.000	0.000	7709
BG110725	chr14	81744051	81744476	+	0.000	0.000	7710
BG110730	chr14	81793072	81793271	+	0.000	0.000	7711
BG110750	chr14	81932831	81933390	+	0.000	0.000	7712
BG110756	chr14	81972657	81973032	+	0.000	0.000	7713
BG110769	chr14	82066964	82067187	+	0.000	0.000	7714
BG110781	chr14	82150954	82151153	+	0.000	0.000	7715
BG110803	chr14	82313470	82313669	+	0.000	0.000	7716
BG110807	chr14	82338679	82339059	+	0.000	0.000	7717
BG110876	chr14	83050239	83050653	+	0.000	0.000	7718
BG110878	chr14	83051073	83051324	+	0.000	0.000	7719
BG110891	chr14	83117423	83117704	+	0.000	0.000	7720
BG110892	chr14	83117735	83117978	+	0.000	0.000	7721
BG110900	chr14	83141032	83141461	+	0.000	0.000	7722
BG110906	chr14	83184031	83184230	+	0.000	0.000	7723
BG110908	chr14	83185394	83185593	+	0.000	0.000	7724
BG110910	chr14	83197286	83197697	+	0.000	0.000	7725
BG110949	chr14	84129363	84129562	+	0.000	0.000	7726
BG110982	chr14	84836496	84836728	+	0.000	0.000	7727
BG110993	chr14	84988193	84988438	+	0.000	0.000	7728
BG128000	chr16	6373810	6374214	+	0.000	0.000	9111
BG128005	chr16	6379992	6380273	+	0.000	0.000	9112
BG128021	chr16	6535255	6535454	+	0.000	0.000	9113
BG128030	chr16	6586534	6586783	+	0.000	0.000	9114
BG128032	chr16	6593666	6594100	+	0.000	0.000	9115
BG128046	chr16	6664875	6665159	+	0.000	0.000	9116
BG128047	chr16	6665434	6665633	+	0.000	0.000	9117
BG128053	chr16	6682444	6682669	+	0.000	0.000	9118
BG128062	chr16	6713910	6714127	+	0.000	0.000	9119
BG128066	chr16	6733276	6733475	+	0.000	0.000	9120
BG128068	chr16	6734077	6734363	+	0.000	0.000	9121
BG128087	chr16	6855873	6856468	+	0.000	0.000	9122
BG128090	chr16	6883402	6883819	+	0.000	0.000	9123
BG128099	chr16	6894385	6894584	+	0.000	0.000	9124
BG297033	chr6	11324247	11324449	+	0.000	0.000	21380
BG297035	chr6	11330442	11331407	+	0.000	0.000	21381
BG297072	chr6	11545003	11545221	+	0.000	0.000	21382
BG297083	chr6	11605143	11605342	+	0.000	0.000	21383
BG297084	chr6	11605376	11605629	+	0.000	0.000	21384
BG128100	chr16	6894804	6895003	+	0.000	0.000	9125
BG128128	chr16	7051456	7051655	+	0.000	0.000	9126
BG128129	chr16	7051710	7051962	+	0.000	0.000	9127
BG128140	chr16	7108154	7108353	+	0.000	0.000	9128
BG128141	chr16	7112680	7113101	+	0.000	0.000	9129
BG128146	chr16	7160783	7160982	+	0.000	0.000	9130
BG128148	chr16	7193645	7193844	+	0.000	0.000	9131
BG128149	chr16	7198854	7199053	+	0.000	0.000	9132
BG128152	chr16	7204104	7204303	+	0.000	0.000	9133
BG128155	chr16	7211880	7212114	+	0.000	0.000	9134
BG128158	chr16	7221942	7222620	+	0.000	0.000	9135
BG128161	chr16	7237166	7237402	+	0.000	0.000	9136
BG128165	chr16	7248425	7249161	+	0.000	0.000	9137
BG128173	chr16	7281879	7282078	+	0.000	0.000	9138
BG128174	chr16	7284289	7284488	+	0.000	0.000	9139
BG128185	chr16	7316505	7316878	+	0.000	0.000	9140
BG128186	chr16	7325874	7326751	+	0.000	0.000	9141
BG128189	chr16	7348830	7349054	+	0.000	0.000	9142
BG128190	chr16	7349156	7349355	+	0.000	0.000	9143
BG297114	chr6	11770743	11771008	+	0.000	0.000	21385
BG297187	chr6	12408724	12409039	+	0.000	0.000	21386
BG297196	chr6	12456905	12457748	+	0.000	0.000	21387
