#Name (cmd = mergePeaks pr.diff_pd_hipp_lrrk_vs_lopd/bg.clean.pos pr.diff_pd_hipp_lrrk_vs_lopd/target.clean..pos -d 200 -cobound 1 -prefix pr.diff_pd_hipp_lrrk_vs_lopd/0.241936496765451.2.tmp)	chr	start	end	strand	stat	stat2	pr.diff_pd_hipp_lrrk_vs_lopd/target.clean..pos
BG209338	chr20	50749372	50749588	+	0.000	0.000	15820
BG209347	chr20	50815607	50815900	+	0.000	0.000	15821
BG62001	chr11	79093021	79093258	+	0.000	0.000	4784
BG62018	chr11	79160882	79161337	+	0.000	0.000	4785
BG62047	chr11	79290045	79290307	+	0.000	0.000	4786
BG27718	chr1	214538615	214538814	+	0.000	0.000	2256
BG62053	chr11	79349054	79349863	+	0.000	0.000	4787
BG62063	chr11	79393826	79394025	+	0.000	0.000	4788
BG62069	chr11	79413318	79413595	+	0.000	0.000	4789
BG62072	chr11	79419185	79419415	+	0.000	0.000	4790
BG62075	chr11	79431507	79431837	+	0.000	0.000	4791
BG27750	chr1	214966722	214967134	+	0.000	0.000	2257
BG308025	chr6	98905506	98905718	+	0.000	0.000	22169
BG27773	chr1	215217074	215217273	+	0.000	0.000	2258
BG209400	chr20	51069324	51069703	+	0.000	0.000	15822
BG209404	chr20	51089317	51089564	+	0.000	0.000	15823
BG209405	chr20	51089580	51089805	+	0.000	0.000	15824
BG209426	chr20	51220684	51220883	+	0.000	0.000	15825
BG209449	chr20	51327392	51327792	+	0.000	0.000	15826
BG209472	chr20	51447339	51447615	+	0.000	0.000	15827
BG62111	chr11	79808920	79809155	+	0.000	0.000	4792
BG62116	chr11	79894175	79894428	+	0.000	0.000	4793
BG62122	chr11	79996386	79996947	+	0.000	0.000	4794
BG62127	chr11	80023862	80024160	+	0.000	0.000	4795
BG27806	chr1	215599283	215599482	+	0.000	0.000	2259
BG27817	chr1	215665205	215665600	+	0.000	0.000	2260
BG27821	chr1	215668484	215668767	+	0.000	0.000	2261
BG27822	chr1	215682310	215682543	+	0.000	0.000	2262
BG27824	chr1	215758874	215759073	+	0.000	0.000	2263
BG27825	chr1	215777601	215777865	+	0.000	0.000	2264
BG62160	chr11	80593109	80595344	+	0.000	0.000	4796
BG27843	chr1	215984854	215985134	+	0.000	0.000	2265
BG62185	chr11	80899358	80899817	+	0.000	0.000	4797
BG308114	chr6	99491875	99492074	+	0.000	0.000	22170
BG27860	chr1	216248319	216249079	+	0.000	0.000	2266
BG27863	chr1	216310845	216311071	+	0.000	0.000	2267
BG27864	chr1	216391013	216391232	+	0.000	0.000	2268
BG308150	chr6	99877544	99877743	+	0.000	0.000	22171
BG308152	chr6	99901700	99901956	+	0.000	0.000	22172
BG308173	chr6	100088093	100088347	+	0.000	0.000	22173
BG308174	chr6	100088384	100088633	+	0.000	0.000	22174
BG308177	chr6	100107786	100107991	+	0.000	0.000	22175
BG308195	chr6	100464941	100465162	+	0.000	0.000	22176
BG209500	chr20	51512693	51512958	+	0.000	0.000	15828
BG209528	chr20	51636128	51636358	+	0.000	0.000	15829
BG209535	chr20	51652438	51652702	+	0.000	0.000	15830
BG209571	chr20	51887439	51887638	+	0.000	0.000	15831
BG209578	chr20	51985068	51985405	+	0.000	0.000	15832
BG209585	chr20	52105617	52105867	+	0.000	0.000	15833
BG209586	chr20	52105895	52106269	+	0.000	0.000	15834
BG209591	chr20	52155457	52155656	+	0.000	0.000	15835
BG62203	chr11	81028547	81028746	+	0.000	0.000	4798
BG62219	chr11	81195883	81196340	+	0.000	0.000	4799
BG62228	chr11	81310099	81310346	+	0.000	0.000	4800
BG27907	chr1	216812951	216813169	+	0.000	0.000	2269
BG62244	chr11	81497040	81497265	+	0.000	0.000	4801
BG62247	chr11	81505721	81506056	+	0.000	0.000	4802
BG62248	chr11	81506102	81506412	+	0.000	0.000	4803
BG308200	chr6	100549494	100549693	+	0.000	0.000	22177
BG308217	chr6	100678144	100678347	+	0.000	0.000	22178
BG308227	chr6	100823143	100823352	+	0.000	0.000	22179
BG27977	chr1	217141925	217142124	+	0.000	0.000	2270
BG27983	chr1	217230507	217230706	+	0.000	0.000	2271
BG27986	chr1	217275777	217276037	+	0.000	0.000	2272
BG27990	chr1	217312124	217312374	+	0.000	0.000	2273
BG308288	chr6	101399868	101400096	+	0.000	0.000	22180
BG209602	chr20	52242071	52242483	+	0.000	0.000	15836
BG209630	chr20	52513391	52513623	+	0.000	0.000	15837
BG209644	chr20	52747835	52748034	+	0.000	0.000	15838
BG209647	chr20	52749205	52749404	+	0.000	0.000	15839
BG209650	chr20	52788127	52788326	+	0.000	0.000	15840
BG209676	chr20	53077811	53078226	+	0.000	0.000	15841
BG62311	chr11	82359206	82359457	+	0.000	0.000	4804
BG62321	chr11	82495041	82495462	+	0.000	0.000	4805
BG62333	chr11	82560116	82560315	+	0.000	0.000	4806
BG62334	chr11	82577347	82577558	+	0.000	0.000	4807
BG62362	chr11	82775806	82776212	+	0.000	0.000	4808
BG62364	chr11	82788075	82788274	+	0.000	0.000	4809
BG62365	chr11	82788290	82788489	+	0.000	0.000	4810
BG62368	chr11	82802530	82802729	+	0.000	0.000	4811
BG62371	chr11	82805475	82805708	+	0.000	0.000	4812
BG308303	chr6	101462535	101462734	+	0.000	0.000	22181
BG308324	chr6	101633241	101633440	+	0.000	0.000	22182
BG308345	chr6	101845070	101845269	+	0.000	0.000	22183
BG308366	chr6	102401139	102401338	+	0.000	0.000	22184
BG308371	chr6	102458928	102459127	+	0.000	0.000	22185
BG308372	chr6	102459172	102459562	+	0.000	0.000	22186
BG244030	chr3	159373784	159373983	+	0.000	0.000	18315
BG209715	chr20	53442350	53442761	+	0.000	0.000	15842
BG209720	chr20	53493694	53493893	+	0.000	0.000	15843
BG209726	chr20	53521488	53521687	+	0.000	0.000	15844
BG209740	chr20	53660643	53660859	+	0.000	0.000	15845
BG209742	chr20	53678039	53678348	+	0.000	0.000	15846
BG244086	chr3	159776320	159776540	+	0.000	0.000	18316
BG244087	chr3	159776571	159776770	+	0.000	0.000	18317
BG209769	chr20	53865850	53866068	+	0.000	0.000	15847
BG62412	chr11	82907783	82908407	+	0.000	0.000	4813
BG62415	chr11	82980473	82980672	+	0.000	0.000	4814
BG62427	chr11	83007868	83008579	+	0.000	0.000	4815
BG62428	chr11	83011450	83011700	+	0.000	0.000	4816
BG62459	chr11	83147971	83148226	+	0.000	0.000	4817
BG308401	chr6	103342919	103343181	+	0.000	0.000	22187
BG308407	chr6	103533327	103533613	+	0.000	0.000	22188
BG62486	chr11	83334328	83334527	+	0.000	0.000	4818
BG308420	chr6	103752818	103753243	+	0.000	0.000	22189
BG308421	chr6	103797798	103798023	+	0.000	0.000	22190
BG308431	chr6	103892909	103893108	+	0.000	0.000	22191
BG308435	chr6	103914983	103915182	+	0.000	0.000	22192
BG308444	chr6	104050092	104050344	+	0.000	0.000	22193
BG308458	chr6	104182053	104182619	+	0.000	0.000	22194
BG308469	chr6	104273859	104274147	+	0.000	0.000	22195
BG308470	chr6	104274155	104274993	+	0.000	0.000	22196
BG308481	chr6	104511442	104511835	+	0.000	0.000	22197
BG209800	chr20	53983672	53983992	+	0.000	0.000	15848
BG209805	chr20	53995861	53996489	+	0.000	0.000	15849
BG209818	chr20	54028000	54029517	+	0.000	0.000	15850
BG244150	chr3	159871901	159872120	+	0.000	0.000	18318
BG209820	chr20	54043515	54043966	+	0.000	0.000	15851
BG209821	chr20	54044175	54044514	+	0.000	0.000	15852
BG209825	chr20	54061677	54061876	+	0.000	0.000	15853
BG244164	chr3	159898265	159898464	+	0.000	0.000	18319
BG209837	chr20	54172668	54173323	+	0.000	0.000	15854
BG209852	chr20	54219901	54220131	+	0.000	0.000	15855
BG209856	chr20	54267882	54268270	+	0.000	0.000	15856
BG209865	chr20	54345276	54345788	+	0.000	0.000	15857
BG62521	chr11	83480661	83480900	+	0.000	0.000	4819
BG62524	chr11	83486537	83486750	+	0.000	0.000	4820
BG308503	chr6	104603812	104604011	+	0.000	0.000	22198
BG308511	chr6	104682910	104683125	+	0.000	0.000	22199
BG308512	chr6	104683142	104683562	+	0.000	0.000	22200
BG308542	chr6	104995720	104996662	+	0.000	0.000	22201
BG308543	chr6	104996734	104997280	+	0.000	0.000	22202
BG308548	chr6	105038101	105038535	+	0.000	0.000	22203
BG308557	chr6	105111199	105111419	+	0.000	0.000	22204
BG244223	chr3	160185268	160185664	+	0.000	0.000	18320
BG209901	chr20	54619201	54619535	+	0.000	0.000	15858
BG244254	chr3	160611963	160612162	+	0.000	0.000	18321
BG244256	chr3	160616378	160616732	+	0.000	0.000	18322
BG209939	chr20	55438508	55438768	+	0.000	0.000	15859
BG209953	chr20	55635880	55636089	+	0.000	0.000	15860
BG209972	chr20	56003090	56005635	+	0.000	0.000	15861
BG209976	chr20	56088130	56089189	+	0.000	0.000	15862
BG209979	chr20	56102686	56102885	+	0.000	0.000	15863
BG209997	chr20	56343675	56343874	+	0.000	0.000	15864
BG62602	chr11	83717683	83717888	+	0.000	0.000	4821
BG62603	chr11	83721397	83721596	+	0.000	0.000	4822
BG62609	chr11	83736168	83736422	+	0.000	0.000	4823
BG62612	chr11	83740435	83740658	+	0.000	0.000	4824
BG62646	chr11	83881518	83881762	+	0.000	0.000	4825
BG62648	chr11	83897067	83897299	+	0.000	0.000	4826
BG308622	chr6	105430520	105430719	+	0.000	0.000	22205
BG308629	chr6	105483596	105483862	+	0.000	0.000	22206
BG308641	chr6	105546459	105546691	+	0.000	0.000	22207
BG308656	chr6	105609432	105609712	+	0.000	0.000	22208
BG308658	chr6	105611236	105611875	+	0.000	0.000	22209
BG308673	chr6	105794329	105794748	+	0.000	0.000	22210
BG308684	chr6	105834737	105834968	+	0.000	0.000	22211
BG308685	chr6	105835331	105835530	+	0.000	0.000	22212
BG308698	chr6	105909999	105910198	+	0.000	0.000	22213
BG244319	chr3	161015725	161015924	+	0.000	0.000	18323
BG244325	chr3	161070639	161070855	+	0.000	0.000	18324
BG244335	chr3	161187131	161187352	+	0.000	0.000	18325
BG62710	chr11	84164442	84164643	+	0.000	0.000	4827
BG343020	chr8	14398701	14398934	+	0.000	0.000	24424
BG62772	chr11	84431118	84431376	+	0.000	0.000	4828
BG343037	chr8	14564949	14565176	+	0.000	0.000	24425
BG343044	chr8	14758718	14758917	+	0.000	0.000	24426
BG308728	chr6	106124758	106124976	+	0.000	0.000	22214
BG343066	chr8	15054248	15054447	+	0.000	0.000	24427
BG308738	chr6	106182560	106182759	+	0.000	0.000	22215
BG343076	chr8	15152706	15152929	+	0.000	0.000	24428
BG308747	chr6	106246174	106246539	+	0.000	0.000	22216
BG343090	chr8	15277653	15277852	+	0.000	0.000	24429
BG308760	chr6	106316437	106316691	+	0.000	0.000	22217
BG308779	chr6	106448223	106448483	+	0.000	0.000	22218
BG308782	chr6	106451648	106451847	+	0.000	0.000	22219
BG244405	chr3	161854968	161855212	+	0.000	0.000	18326
BG244410	chr3	161905240	161905835	+	0.000	0.000	18327
BG244423	chr3	161959565	161959770	+	0.000	0.000	18328
BG244426	chr3	161960426	161960625	+	0.000	0.000	18329
BG244428	chr3	162019890	162020213	+	0.000	0.000	18330
BG244441	chr3	162165079	162165324	+	0.000	0.000	18331
BG244443	chr3	162165713	162165921	+	0.000	0.000	18332
BG244460	chr3	162270037	162270303	+	0.000	0.000	18333
BG244462	chr3	162285566	162285765	+	0.000	0.000	18334
BG244465	chr3	162289124	162289364	+	0.000	0.000	18335
BG244473	chr3	162317388	162318076	+	0.000	0.000	18336
BG244474	chr3	162367404	162367603	+	0.000	0.000	18337
BG244480	chr3	162524858	162525434	+	0.000	0.000	18338
BG244490	chr3	162659354	162659553	+	0.000	0.000	18339
BG244494	chr3	162769632	162769881	+	0.000	0.000	18340
BG244495	chr3	162893999	162894198	+	0.000	0.000	18341
BG244496	chr3	162894324	162894523	+	0.000	0.000	18342
BG62820	chr11	84673551	84673750	+	0.000	0.000	4829
BG343109	chr8	15584611	15584810	+	0.000	0.000	24430
BG62859	chr11	84886964	84887183	+	0.000	0.000	4830
BG62868	chr11	84929769	84930356	+	0.000	0.000	4831
BG62869	chr11	84930361	84930601	+	0.000	0.000	4832
BG62874	chr11	84971754	84972461	+	0.000	0.000	4833
BG343133	chr8	15795686	15795885	+	0.000	0.000	24431
BG308801	chr6	106567124	106567452	+	0.000	0.000	22220
BG62884	chr11	85123856	85124063	+	0.000	0.000	4834
BG62885	chr11	85132271	85132475	+	0.000	0.000	4835
BG62889	chr11	85164223	85164516	+	0.000	0.000	4836
BG343144	chr8	15980561	15980924	+	0.000	0.000	24432
BG308817	chr6	106637388	106637654	+	0.000	0.000	22221
BG62890	chr11	85164560	85165129	+	0.000	0.000	4837
BG343151	chr8	16185199	16185398	+	0.000	0.000	24433
BG343153	chr8	16185837	16186066	+	0.000	0.000	24434
BG308821	chr6	106650050	106650486	+	0.000	0.000	22222
BG343158	chr8	16311646	16311891	+	0.000	0.000	24435
BG308868	chr6	107113871	107114135	+	0.000	0.000	22223
BG308881	chr6	107211579	107212013	+	0.000	0.000	22224
BG308882	chr6	107212039	107212273	+	0.000	0.000	22225
BG308889	chr6	107266408	107266997	+	0.000	0.000	22226
BG244513	chr3	163462523	163462969	+	0.000	0.000	18343
BG244532	chr3	164264292	164264501	+	0.000	0.000	18344
BG244538	chr3	164448785	164448984	+	0.000	0.000	18345
BG244539	chr3	164449020	164449250	+	0.000	0.000	18346
BG244550	chr3	164641138	164641337	+	0.000	0.000	18347
BG244551	chr3	164658207	164658406	+	0.000	0.000	18348
BG244584	chr3	165217084	165217283	+	0.000	0.000	18349
BG244597	chr3	165256619	165256846	+	0.000	0.000	18350
BG62908	chr11	85494278	85494674	+	0.000	0.000	4838
BG62909	chr11	85494841	85495084	+	0.000	0.000	4839
BG62910	chr11	85495177	85495611	+	0.000	0.000	4840
BG62911	chr11	85531135	85531865	+	0.000	0.000	4841
BG62934	chr11	85705862	85706153	+	0.000	0.000	4842
BG343205	chr8	16858942	16859156	+	0.000	0.000	24436
BG62978	chr11	86032888	86033102	+	0.000	0.000	4843
BG62995	chr11	86091992	86092191	+	0.000	0.000	4844
BG62999	chr11	86118798	86119038	+	0.000	0.000	4845
BG343255	chr8	17170182	17170381	+	0.000	0.000	24437
BG343261	chr8	17229931	17230177	+	0.000	0.000	24438
BG308933	chr6	107554297	107554583	+	0.000	0.000	22227
BG343269	chr8	17286339	17287193	+	0.000	0.000	24439
BG343274	chr8	17337880	17338079	+	0.000	0.000	24440
BG308965	chr6	107657646	107657845	+	0.000	0.000	22228
BG308981	chr6	107753401	107753643	+	0.000	0.000	22229
BG308987	chr6	107815682	107815881	+	0.000	0.000	22230
BG308989	chr6	107820588	107820866	+	0.000	0.000	22231
BG244611	chr3	165404432	165404631	+	0.000	0.000	18351
BG244616	chr3	165462941	165463407	+	0.000	0.000	18352
BG244676	chr3	166527429	166527646	+	0.000	0.000	18353
BG244679	chr3	166573466	166573678	+	0.000	0.000	18354
BG244693	chr3	167066723	167067214	+	0.000	0.000	18355
BG244695	chr3	167069111	167069310	+	0.000	0.000	18356
BG244698	chr3	167109847	167110190	+	0.000	0.000	18357
BG244699	chr3	167110206	167110608	+	0.000	0.000	18358
BG110007	chr14	77260295	77260517	+	0.000	0.000	7926
BG110020	chr14	77282083	77282436	+	0.000	0.000	7927
BG110021	chr14	77282729	77282938	+	0.000	0.000	7928
BG110026	chr14	77300887	77301128	+	0.000	0.000	7929
BG110065	chr14	77469015	77470093	+	0.000	0.000	7930
BG110066	chr14	77470114	77470370	+	0.000	0.000	7931
BG110067	chr14	77470379	77470611	+	0.000	0.000	7932
BG110074	chr14	77518706	77518905	+	0.000	0.000	7933
BG110088	chr14	77599443	77599648	+	0.000	0.000	7934
BG343311	chr8	17527869	17528231	+	0.000	0.000	24441
BG343313	chr8	17529959	17530785	+	0.000	0.000	24442
BG343330	chr8	17608425	17608649	+	0.000	0.000	24443
BG343331	chr8	17608688	17608910	+	0.000	0.000	24444
BG343355	chr8	17665603	17665802	+	0.000	0.000	24445
BG343396	chr8	17750139	17750364	+	0.000	0.000	24446
BG244708	chr3	167165665	167165977	+	0.000	0.000	18359
BG244752	chr3	167494193	167494402	+	0.000	0.000	18360
BG244794	chr3	167761375	167761618	+	0.000	0.000	18361
BG110100	chr14	77663483	77663682	+	0.000	0.000	7935
BG110109	chr14	77709445	77709904	+	0.000	0.000	7936
BG110110	chr14	77721269	77721468	+	0.000	0.000	7937
BG110111	chr14	77721517	77721716	+	0.000	0.000	7938
BG110144	chr14	77902521	77902748	+	0.000	0.000	7939
BG110164	chr14	77980070	77980760	+	0.000	0.000	7940
BG343440	chr8	17954454	17954728	+	0.000	0.000	24447
BG343447	chr8	17973598	17973797	+	0.000	0.000	24448
BG343452	chr8	18071788	18072556	+	0.000	0.000	24449
BG343484	chr8	18296021	18296649	+	0.000	0.000	24450
BG343485	chr8	18296682	18296972	+	0.000	0.000	24451
BG343493	chr8	18318856	18319466	+	0.000	0.000	24452
BG244803	chr3	167808574	167808773	+	0.000	0.000	18362
BG244822	chr3	167928420	167928778	+	0.000	0.000	18363
BG244834	chr3	168035531	168035829	+	0.000	0.000	18364
BG244844	chr3	168052286	168052486	+	0.000	0.000	18365
BG244888	chr3	168428193	168428392	+	0.000	0.000	18366
BG244895	chr3	168493482	168493766	+	0.000	0.000	18367
BG110231	chr14	78298438	78298693	+	0.000	0.000	7941
BG110234	chr14	78327749	78327985	+	0.000	0.000	7942
BG110235	chr14	78328004	78328485	+	0.000	0.000	7943
BG110277	chr14	78605623	78605869	+	0.000	0.000	7944
BG343505	chr8	18385521	18385771	+	0.000	0.000	24453
BG343507	chr8	18401810	18402009	+	0.000	0.000	24454
BG343519	chr8	18498889	18499088	+	0.000	0.000	24455
BG343530	chr8	18539141	18539340	+	0.000	0.000	24456
BG343536	chr8	18560013	18560212	+	0.000	0.000	24457
BG343540	chr8	18572243	18572689	+	0.000	0.000	24458
BG343544	chr8	18601469	18601668	+	0.000	0.000	24459
BG343562	chr8	18662009	18662506	+	0.000	0.000	24460
BG343594	chr8	18747568	18748289	+	0.000	0.000	24461
BG244931	chr3	168810516	168811091	+	0.000	0.000	18368
BG244962	chr3	169294666	169294865	+	0.000	0.000	18369
BG244973	chr3	169388023	169388227	+	0.000	0.000	18370
BG244974	chr3	169388260	169388468	+	0.000	0.000	18371
BG244992	chr3	169744688	169744887	+	0.000	0.000	18372
BG110318	chr14	78777755	78778349	+	0.000	0.000	7945
BG110331	chr14	78839121	78839361	+	0.000	0.000	7946
BG110339	chr14	78870677	78870876	+	0.000	0.000	7947
BG110352	chr14	78908924	78909123	+	0.000	0.000	7948
BG110366	chr14	79042657	79043109	+	0.000	0.000	7949
BG343600	chr8	18758371	18758570	+	0.000	0.000	24462
BG343620	chr8	18847571	18847909	+	0.000	0.000	24463
BG343636	chr8	18918551	18918750	+	0.000	0.000	24464
BG343654	chr8	19019188	19019836	+	0.000	0.000	24465
BG343655	chr8	19020518	19021468	+	0.000	0.000	24466
BG343673	chr8	19122585	19122787	+	0.000	0.000	24467
BG110403	chr14	79317566	79317783	+	0.000	0.000	7950
BG110422	chr14	79415814	79416084	+	0.000	0.000	7951
BG110426	chr14	79428713	79428947	+	0.000	0.000	7952
BG110434	chr14	79475759	79476415	+	0.000	0.000	7953
BG110452	chr14	79587336	79587598	+	0.000	0.000	7954
BG110476	chr14	79708543	79708852	+	0.000	0.000	7955
BG110488	chr14	79739888	79740087	+	0.000	0.000	7956
BG343718	chr8	19394468	19394667	+	0.000	0.000	24468
BG110501	chr14	79795748	79795947	+	0.000	0.000	7957
BG110502	chr14	79796005	79796204	+	0.000	0.000	7958
BG110514	chr14	79853083	79853302	+	0.000	0.000	7959
BG110567	chr14	80548692	80548891	+	0.000	0.000	7960
BG110582	chr14	80723672	80724230	+	0.000	0.000	7961
BG110596	chr14	80979962	80980260	+	0.000	0.000	7962
BG110598	chr14	80986632	80986831	+	0.000	0.000	7963
BG343818	chr8	19844555	19844754	+	0.000	0.000	24469
BG343845	chr8	19945500	19945722	+	0.000	0.000	24470
BG343852	chr8	19965691	19965890	+	0.000	0.000	24471
BG343854	chr8	19966261	19966492	+	0.000	0.000	24472
BG343870	chr8	20099156	20099355	+	0.000	0.000	24473
BG343871	chr8	20099368	20099588	+	0.000	0.000	24474
BG343878	chr8	20125387	20125586	+	0.000	0.000	24475
BG110605	chr14	81137416	81137690	+	0.000	0.000	7964
BG110627	chr14	81267938	81268193	+	0.000	0.000	7965
BG110650	chr14	81348069	81348310	+	0.000	0.000	7966
BG110664	chr14	81399883	81400091	+	0.000	0.000	7967
BG110679	chr14	81465397	81465813	+	0.000	0.000	7968
BG110680	chr14	81465894	81466140	+	0.000	0.000	7969
BG343927	chr8	20296374	20296580	+	0.000	0.000	24476
BG343943	chr8	20381094	20381297	+	0.000	0.000	24477
BG343949	chr8	20452614	20453169	+	0.000	0.000	24478
BG110700	chr14	81555535	81556193	+	0.000	0.000	7970
BG110707	chr14	81571837	81572044	+	0.000	0.000	7971
BG110708	chr14	81593408	81593607	+	0.000	0.000	7972
BG110726	chr14	81744743	81744942	+	0.000	0.000	7973
BG110730	chr14	81793072	81793271	+	0.000	0.000	7974
BG110750	chr14	81932831	81933390	+	0.000	0.000	7975
BG110769	chr14	82066964	82067187	+	0.000	0.000	7976
BG110781	chr14	82150954	82151153	+	0.000	0.000	7977
BG110831	chr14	82458928	82459431	+	0.000	0.000	7978
BG110835	chr14	82539347	82539605	+	0.000	0.000	7979
BG110841	chr14	82578513	82578915	+	0.000	0.000	7980
BG110876	chr14	83050239	83050653	+	0.000	0.000	7981
BG110896	chr14	83126433	83126735	+	0.000	0.000	7982
BG110908	chr14	83185394	83185593	+	0.000	0.000	7983
BG110920	chr14	83282795	83283058	+	0.000	0.000	7984
BG110951	chr14	84228774	84229444	+	0.000	0.000	7985
BG110957	chr14	84453322	84453589	+	0.000	0.000	7986
BG110962	chr14	84478890	84479150	+	0.000	0.000	7987
BG110982	chr14	84836496	84836728	+	0.000	0.000	7988
BG110987	chr14	84948084	84948283	+	0.000	0.000	7989
BG110993	chr14	84988193	84988438	+	0.000	0.000	7990
BG128005	chr16	6379992	6380273	+	0.000	0.000	9385
BG128007	chr16	6414768	6414976	+	0.000	0.000	9386
BG128017	chr16	6495542	6495814	+	0.000	0.000	9387
BG128030	chr16	6586534	6586783	+	0.000	0.000	9388
BG128032	chr16	6593666	6594100	+	0.000	0.000	9389
BG128062	chr16	6713910	6714127	+	0.000	0.000	9390
BG128064	chr16	6726424	6727055	+	0.000	0.000	9391
BG128065	chr16	6728115	6728714	+	0.000	0.000	9392
BG128066	chr16	6733276	6733475	+	0.000	0.000	9393
BG128080	chr16	6793798	6794255	+	0.000	0.000	9394
BG128088	chr16	6869714	6870140	+	0.000	0.000	9395
BG128090	chr16	6883402	6883819	+	0.000	0.000	9396
